"gene","sample","count","stage","day","day.total","replication"
"Tbr1","E_11_rep1",0,"Embryonic",11,11,1
"Tbr1","E_11_rep2",4,"Embryonic",11,11,2
"Tbr1","E_11_rep3",0,"Embryonic",11,11,3
"Tbr1","E_12_rep1",0,"Embryonic",12,12,1
"Tbr1","E_12_rep2",6,"Embryonic",12,12,2
"Tbr1","E_12_rep3",0,"Embryonic",12,12,3
"Tbr1","E_13_rep1",108,"Embryonic",13,13,1
"Tbr1","E_13_rep2",16,"Embryonic",13,13,2
"Tbr1","E_13_rep3",38,"Embryonic",13,13,3
"Tbr1","E_14_rep1",140,"Embryonic",14,14,1
"Tbr1","E_14_rep2",80,"Embryonic",14,14,2
"Tbr1","E_14_rep3",77,"Embryonic",14,14,3
"Tbr1","E_15_rep1",62,"Embryonic",15,15,1
"Tbr1","E_15_rep2",26,"Embryonic",15,15,2
"Tbr1","E_15_rep3",52,"Embryonic",15,15,3
"Tbr1","E_16_rep1",46,"Embryonic",16,16,1
"Tbr1","E_16_rep2",25,"Embryonic",16,16,2
"Tbr1","E_16_rep3",37,"Embryonic",16,16,3
"Tbr1","E_17_rep1",26,"Embryonic",17,17,1
"Tbr1","E_17_rep2",32,"Embryonic",17,17,2
"Tbr1","E_17_rep3",9,"Embryonic",17,17,3
"Tbr1","E_18_rep1",14,"Embryonic",18,18,1
"Tbr1","E_18_rep2",23,"Embryonic",18,18,2
"Tbr1","E_18_rep3",8,"Embryonic",18,18,3
"Tbr1","N_00_rep1",4,"Neonatal",0,19,1
"Tbr1","N_00_rep2",14,"Neonatal",0,19,2
"Tbr1","N_00_rep3",9,"Neonatal",0,19,3
"Tbr1","N_03_rep1",8,"Neonatal",3,22,1
"Tbr1","N_03_rep2",4,"Neonatal",3,22,2
"Tbr1","N_03_rep3",0,"Neonatal",3,22,3
"Tbr1","N_06_rep1",3,"Neonatal",6,25,1
"Tbr1","N_06_rep2",1,"Neonatal",6,25,2
"Tbr1","N_06_rep3",0,"Neonatal",6,25,3
"Tbr1","N_09_rep1",0,"Neonatal",9,28,1
"Tbr1","N_09_rep2",2,"Neonatal",9,28,2
"Tbr1","N_09_rep3",2,"Neonatal",9,28,3
